ANS1	무게는 1.8kg 입니다.
ANS2	용량은 2L 입니다.
ANS3	최대 가열 온도는 100c 입니다.
ANS4	시간 조절이 가능 합니다.
ANS5	소재는 스테인레스가 사용 됩니다.
ANS6	크기는 18x22x43 입니다.
ANS7	네 보온 온도 설정이 가능합니다.
ANS8	온도 설정 버튼으로 디지털부에 나타나는 원하는 온도를 설정하여 물을 끓이거나 데울 수 있습니다. 설정 온도 도달 시 삐삐삐 소리와 함께 가열이 중단 됩니다. 온도는 100c 까지 가능합니다.
ANS9	네 소비 전력은 1350W 입니다.
ANS10	네 색상은 올리브 색 입니다.
COM1	안녕하세요
COM2	구매시각, 배송사 상황에 따라 다르지만, 최소 구매일로부터 3일 이내에 받아보실 수 있습니다.
COM3	삼성카드로 1.5% 할인 받을 수 있으며, 5만원 이상 구매시 무이자 입니다. 스마일 캐시 결제 시 1.5% 추가 적립 가능합니다.
COM4	가격은 32,000원 입니다.
COM5	배송비는 2500원 입니다. 도서 산간 지역(제주도 포함)의 경우는 5000원 입니다.
COM6	A/S센터의 전화번호는 1588-3366 입니다.
COM7	고객들의 리뷰는 다음과 같습니다.
COM8	고객들의 상품 만족도는 다음과 같습니다.
COM9	환불이 가능한 상품 입니다.
COM10	네 국내배송이 가능한 상품 입니다.
WTR1	수량은 6팩 x (24 PET) 입니다.
WTR2	수원지는 강원도 평창군 입니다.
SRC1	용량 브랜드는 같고 갯수가 다른 상품은 다음과 같습니다.
SRC2	용량과 갯수는 같고 브랜드가 다른 상품은 다음과 같습니다.
SRC3	브랜드와 갯수는 같고 용량이 다른 상품은 다음과 같습니다.
